data_period,customer_age,Education,Marital_Status,Income,children_home,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,total_spending,Dt_Customer
training,32,PhD,Married,160803.0,0,21,15,0,28,1,0,1717,2012-08-04
training,47,PhD,Married,36947.0,2,49,4,3,0,4,9,146,2012-08-07
training,51,PhD,Together,33629.0,2,49,5,3,1,4,9,152,2012-08-08
training,38,Basic,Divorced,9548.0,1,31,2,1,0,3,8,29,2012-08-08
training,32,Graduation,Married,37040.0,0,41,1,4,2,5,8,316,2012-08-08
training,40,Graduation,Married,67445.0,1,63,5,9,6,12,6,1174,2012-08-12
training,40,Graduation,Married,67445.0,1,63,5,9,6,12,6,1174,2012-08-12
training,43,PhD,Together,49269.0,1,92,3,7,3,12,7,890,2012-08-15
training,45,PhD,Together,53374.0,1,34,6,4,2,9,9,1064,2012-08-16
training,54,Master,Married,30522.0,1,6,5,1,2,9,2,326,2012-08-17
training,62,Graduation,Single,53700.0,1,94,4,5,5,8,5,694,2012-08-17
training,43,2n Cycle,Divorced,49118.0,0,90,2,9,7,10,7,1229,2012-08-18
training,40,Graduation,Single,32233.0,1,26,2,6,2,2,9,296,2012-08-19
training,59,PhD,Single,49667.0,0,35,2,5,10,5,8,1396,2012-08-20
training,53,Graduation,Single,82014.0,0,48,1,3,6,12,6,1511,2012-08-20
training,41,2n Cycle,Married,35688.0,3,94,7,4,1,4,8,211,2012-08-22
training,28,Basic,Single,8940.0,1,25,3,3,1,3,8,101,2012-08-22
training,47,Graduation,Married,77870.0,1,93,3,5,5,5,8,1815,2012-08-22
training,29,Graduation,Single,29760.0,1,87,4,3,1,4,8,165,2012-08-29
training,47,Graduation,Together,75702.0,2,77,5,4,6,11,8,1148,2012-08-29
training,40,Graduation,Married,42557.0,1,98,4,6,1,4,8,270,2012-08-29
training,68,Graduation,Together,37760.0,0,20,2,4,1,6,7,317,2012-08-31
training,50,Graduation,Divorced,51983.0,1,95,3,9,2,10,7,793,2012-08-31
training,26,PhD,Married,67546.0,0,90,1,4,10,5,3,2126,2012-08-31
training,49,PhD,Together,65220.0,0,3,4,8,4,7,6,1282,2012-09-03
training,57,Graduation,Single,58138.0,0,58,3,8,10,4,7,1617,2012-09-04
training,34,Basic,Married,25965.0,0,29,1,2,0,3,8,74,2012-09-07
training,52,Graduation,Divorced,63887.0,1,38,5,9,6,12,6,1245,2012-09-08
training,39,PhD,Married,80427.0,1,56,1,11,8,8,5,1835,2012-09-12
training,58,Graduation,Together,54450.0,2,0,12,9,2,8,8,684,2012-09-14
training,50,PhD,Divorced,78825.0,0,35,1,5,10,13,3,895,2012-09-14
training,30,2n Cycle,Married,14796.0,1,1,2,1,0,3,9,51,2012-09-17
training,42,Graduation,Married,69209.0,0,4,2,5,3,6,4,1782,2012-09-17
training,57,PhD,Married,37633.0,2,49,2,1,0,3,9,38,2012-09-20
training,47,Graduation,Divorced,70647.0,1,65,2,4,7,13,2,1079,2012-09-21
training,36,Graduation,Divorced,71847.0,0,95,0,6,7,9,3,1192,2012-09-21
training,56,PhD,Together,78952.0,1,11,2,2,5,12,6,2092,2012-09-24
training,51,PhD,Married,53378.0,2,41,10,9,4,6,8,793,2012-09-24
training,32,2n Cycle,Together,66664.0,0,78,1,5,7,6,3,1289,2012-09-25
training,64,Master,Divorced,63120.0,1,53,5,8,4,9,7,1477,2012-09-28
training,57,Graduation,Married,78618.0,0,87,1,4,7,10,2,2153,2012-09-28
training,65,Master,Married,62845.0,2,3,11,3,4,10,8,1178,2012-10-01
training,62,PhD,Together,61010.0,1,57,2,8,5,11,5,1021,2012-10-09
training,27,Graduation,Married,17323.0,0,38,1,1,0,3,8,46,2012-10-10
training,54,Master,Together,83151.0,0,93,1,5,9,4,3,747,2012-10-10
training,30,PhD,Single,39684.0,1,41,2,2,1,2,7,81,2012-10-12
training,19,2n Cycle,Single,80617.0,0,42,1,4,6,8,2,1435,2012-10-12
training,34,Graduation,Together,44010.0,1,46,6,10,2,6,9,662,2012-10-13
training,43,Master,Together,80573.0,0,85,1,4,6,13,2,1564,2012-10-14
training,30,PhD,Married,70643.0,0,66,1,5,8,4,6,1828,2012-10-15
training,41,PhD,YOLO,48432.0,1,3,5,7,1,6,8,424,2012-10-18
training,38,Graduation,Married,59809.0,2,36,3,3,3,6,8,877,2012-10-18
training,43,Graduation,Divorced,25818.0,1,51,1,0,1,2,7,28,2012-10-18
training,22,Master,Single,92859.0,0,46,1,5,4,12,2,2077,2012-10-19
training,39,Basic,Married,30801.0,1,23,2,1,0,3,7,45,2012-10-26
training,25,Graduation,Married,42387.0,1,42,5,8,1,7,8,684,2012-10-29
training,45,Master,Together,65176.0,1,57,4,9,6,6,6,1531,2012-10-29
training,62,PhD,Married,77610.0,1,70,2,4,7,4,7,1680,2012-10-29
training,28,Basic,Married,20425.0,1,5,2,2,0,3,7,57,2012-10-29
training,62,Master,Married,33444.0,2,24,1,1,0,2,8,18,2012-11-03
training,54,Graduation,Married,51651.0,1,32,4,6,2,5,8,433,2012-11-07
training,39,2n Cycle,Single,41658.0,2,30,2,1,1,2,4,72,2012-11-09
training,51,Graduation,Single,30983.0,0,50,1,4,0,3,8,167,2012-11-09
training,34,2n Cycle,Together,14515.0,1,71,4,2,2,3,7,96,2012-11-09
training,44,Graduation,Single,67384.0,1,32,2,7,8,5,5,1490,2012-11-10
training,33,Graduation,Married,19419.0,1,76,4,4,0,3,9,70,2012-11-10
training,48,Graduation,Single,63810.0,1,45,4,4,3,12,8,1371,2012-11-11
training,57,Graduation,Single,64849.0,0,42,1,9,3,6,5,1336,2012-11-13
training,56,Graduation,Married,65148.0,1,9,2,6,6,7,4,1115,2012-11-16
training,51,PhD,Single,46757.0,1,71,6,4,4,7,9,1143,2012-11-16
training,32,2n Cycle,Single,23616.0,1,76,2,3,0,3,8,79,2012-11-17
training,65,PhD,Widow,54356.0,1,62,3,11,2,8,8,775,2012-11-19
training,35,PhD,Married,31605.0,1,15,2,2,1,4,7,125,2012-11-22
training,49,Graduation,Married,73538.0,1,92,3,10,4,9,7,1658,2012-11-25
training,62,Graduation,Single,72228.0,0,87,1,6,7,8,3,1250,2012-11-27
training,42,2n Cycle,Married,24884.0,1,32,1,0,0,3,7,19,2012-11-29
training,39,PhD,Single,52614.0,1,63,2,2,4,8,8,990,2012-12-01
training,38,Graduation,Divorced,46310.0,1,99,2,6,1,5,8,309,2012-12-03
training,20,Graduation,Single,95529.0,0,29,1,7,3,7,3,1990,2012-12-03
training,22,Basic,Single,7500.0,1,63,4,3,2,2,9,119,2012-12-03
training,52,Graduation,Single,66565.0,1,80,4,4,2,9,8,1065,2012-12-05
training,46,Graduation,Divorced,75693.0,0,10,1,11,4,6,4,1442,2012-12-06
training,39,PhD,Married,76618.0,0,64,1,3,2,5,1,1511,2012-12-07
training,54,Master,Married,89058.0,0,18,1,5,4,4,2,850,2012-12-07
training,51,Graduation,Together,56253.0,1,83,4,7,2,9,6,597,2012-12-07
training,62,Graduation,Divorced,51537.0,1,27,3,2,2,11,8,1103,2012-12-09
training,66,PhD,Married,61467.0,2,69,3,5,2,10,5,594,2012-12-09
training,56,Graduation,Together,28087.0,2,77,3,2,2,2,7,112,2012-12-11
training,34,PhD,Married,43974.0,1,19,5,6,4,6,7,551,2012-12-12
training,66,PhD,Married,83837.0,0,79,1,9,10,5,4,1318,2012-12-16
training,34,Graduation,Together,44964.0,2,35,1,1,0,3,8,41,2012-12-16
training,37,Graduation,Single,28769.0,1,76,3,4,1,4,9,191,2012-12-18
training,38,PhD,Single,60000.0,1,57,5,11,3,5,6,1277,2012-12-22
training,44,Master,Divorced,78579.0,0,35,1,5,6,4,3,1812,2012-12-22
training,57,Graduation,Together,21994.0,1,4,1,0,0,3,5,22,2012-12-24
training,55,Graduation,Married,18690.0,0,77,1,1,1,2,8,60,2012-12-28
training,55,Graduation,Married,18690.0,0,77,1,1,1,2,8,60,2012-12-28
training,47,Graduation,Married,51479.0,2,67,7,6,3,6,7,494,2012-12-28
training,28,Master,Single,21888.0,1,15,4,5,1,2,10,213,2012-12-29
training,24,Basic,Married,24279.0,0,6,1,4,1,3,8,263,2012-12-29
training,55,PhD,Divorced,62859.0,1,37,4,9,4,6,6,1307,2012-12-30
training,58,Master,Together,14661.0,0,88,1,1,0,3,6,26,2013-01-01
training,49,Graduation,Together,56046.0,0,9,2,10,1,8,8,692,2013-01-02
training,52,2n Cycle,Divorced,81975.0,1,2,1,6,3,4,7,1588,2013-01-05
training,52,Graduation,Married,56181.0,1,6,1,4,2,7,4,393,2013-01-08
training,35,Basic,Together,23724.0,1,65,2,2,0,3,8,75,2013-01-08
training,43,Master,Married,35178.0,1,10,1,1,1,2,7,59,2013-01-10
training,28,Graduation,Married,71952.0,1,93,2,8,4,8,4,1443,2013-01-10
training,61,Graduation,Single,40464.0,1,78,6,8,2,8,8,630,2013-01-11
training,53,Graduation,Together,64260.0,0,1,1,4,5,4,3,1574,2013-01-11
training,36,Graduation,Together,42554.0,2,93,2,2,0,3,4,41,2013-01-12
training,42,Graduation,Together,26290.0,2,49,4,2,0,4,6,77,2013-01-12
training,28,Master,Together,42386.0,1,43,1,3,0,3,8,100,2013-01-13
training,41,PhD,Married,32644.0,1,38,4,7,1,6,8,413,2013-01-16
training,48,Basic,Together,22634.0,0,47,1,2,1,2,8,96,2013-01-16
training,58,Graduation,Single,60714.0,0,56,2,7,4,10,5,957,2013-01-17
training,38,Graduation,Married,13624.0,1,93,2,2,0,3,6,36,2013-01-20
training,51,Master,Single,64191.0,1,30,3,5,3,13,3,825,2013-01-22
training,51,PhD,Widow,52278.0,1,24,6,10,5,10,8,1198,2013-01-25
training,42,PhD,Married,70116.0,0,73,1,2,8,12,1,1536,2013-01-26
training,29,Graduation,Married,31158.0,1,62,2,2,0,3,8,72,2013-01-27
training,71,PhD,Divorced,48948.0,0,53,2,7,10,5,6,902,2013-02-01
training,46,Graduation,Divorced,36997.0,2,72,5,2,1,4,5,94,2013-02-01
training,45,Graduation,Married,52413.0,2,56,4,6,4,12,6,910,2013-02-02
training,56,Graduation,Married,81320.0,0,61,1,4,3,10,2,928,2013-02-06
training,53,PhD,Divorced,64325.0,1,41,5,10,3,5,7,1307,2013-02-07
training,36,2n Cycle,Together,63855.0,0,28,1,7,3,13,4,1006,2013-02-09
training,60,Graduation,Together,39898.0,1,20,2,3,0,4,7,134,2013-02-12
training,65,PhD,Widow,51569.0,1,39,4,7,1,7,8,467,2013-02-12
training,39,Graduation,Single,53201.0,2,49,8,6,3,5,7,415,2013-02-12
training,61,Graduation,Married,50725.0,1,45,4,8,1,8,8,586,2013-02-13
training,28,PhD,Single,29999.0,1,22,4,3,1,4,8,160,2013-02-13
training,39,2n Cycle,Widow,47682.0,1,80,4,4,3,8,5,521,2013-02-15
training,49,PhD,Married,71322.0,1,57,2,8,5,13,4,1305,2013-02-16
training,49,2n Cycle,Together,71488.0,0,87,2,3,4,7,1,559,2013-02-18
training,29,PhD,Married,18169.0,1,40,1,1,0,2,8,21,2013-02-19
training,63,PhD,Together,69702.0,1,8,2,7,7,10,4,1039,2013-02-19
training,53,Graduation,Single,30081.0,1,27,1,1,0,3,7,42,2013-02-21
training,43,Graduation,Divorced,40851.0,2,63,1,1,1,2,7,59,2013-02-21
training,33,Graduation,Single,91065.0,0,33,1,7,9,9,3,1474,2013-02-22
training,65,Graduation,Widow,72643.0,0,60,1,3,10,7,2,1429,2013-02-27
training,45,PhD,Married,56242.0,1,72,5,8,4,11,6,971,2013-03-03
training,65,PhD,Married,80360.0,0,56,2,4,4,5,2,2231,2013-03-03
training,38,Master,Single,70379.0,1,84,3,6,3,13,4,860,2013-03-03
training,42,Graduation,Single,31907.0,0,75,1,6,1,6,7,449,2013-03-04
training,36,Graduation,Single,30168.0,1,51,7,6,1,4,9,279,2013-03-07
training,26,2n Cycle,Divorced,35388.0,1,20,1,1,0,3,7,32,2013-03-07
training,54,Graduation,Together,30507.0,0,29,1,5,1,4,7,343,2013-03-11
training,31,Graduation,Single,101970.0,0,69,0,6,8,13,2,1135,2013-03-12
training,35,Master,Married,40662.0,1,0,2,2,1,3,4,92,2013-03-15
training,32,Basic,Single,24367.0,1,58,1,1,0,2,9,24,2013-03-20
training,58,Graduation,Widow,46984.0,2,71,1,1,0,3,5,41,2013-03-26
training,33,2n Cycle,Married,56337.0,2,25,5,8,5,4,8,724,2013-03-27
training,24,Master,Single,91172.0,0,94,0,4,3,7,3,1092,2013-03-27
training,35,Graduation,Single,60152.0,1,6,1,6,4,12,3,943,2013-03-28
training,58,Graduation,Married,71391.0,1,50,5,6,5,12,3,1043,2013-03-29
training,54,PhD,Together,38201.0,1,19,4,5,1,5,8,268,2013-03-29
training,46,Graduation,Together,40521.0,2,82,1,0,1,2,5,21,2013-04-05
training,32,Master,Married,43815.0,1,53,1,2,0,3,6,79,2013-04-05
training,53,Graduation,Single,46524.0,1,70,2,1,1,5,3,177,2013-04-05
training,65,PhD,Single,26518.0,2,33,3,2,0,3,8,57,2013-04-08
training,47,PhD,Married,56320.0,1,11,3,5,4,9,4,702,2013-04-08
training,21,Graduation,Single,72354.0,0,67,1,2,10,6,1,1228,2013-04-17
training,54,Graduation,Together,13672.0,2,86,2,1,0,3,8,25,2013-04-17
training,46,Master,Divorced,63841.0,1,64,1,9,3,9,6,908,2013-04-21
